"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
2,"Veihe","Weyer (Mechernich)","50,53779","6,651492","1395","1395","WMD","WMD","i",NA,"i",0,1395,6.651492,50.53779
3,"Vttingen","Uttingen","49,8","9,73","1410","1410","MDT","Franken","i",NA,"i",0,1410,9.73,49.8
4,"Wattwiller bei Thann",NA,"47,836389","7,180278","1397","1397","Elsass","Elsass","i",NA,"i",0,1397,7.180278,47.836389
1,"Weitnau",NA,"47,678165","7,76581","1344","1344","WOD","Schwarzwald","i","u","i",0,1344,7.76581,47.678165
4,"Werentzhausen bei Altkirch",NA,"47,516944","7,3575","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.3575,47.516944
1,"Westerwald",NA,"50,661139","8,101472","1495","1495","MDT","MDT","i",NA,"i",0,1495,8.101472,50.661139
4,"Wiedikon bei Greifensee",NA,"47,361944","8,514722","1450","15. Jh.","CH","CH","i","u","i",0,1450,8.514722,47.361944
3,"Wincheringen (Mosel)",NA,"49,607411","6,423947","1550","16. Jh.","WMD","WMD","i",NA,"i",0,1550,6.423947,49.607411
6,"Wir bei Horburg",NA,"48,079444","7,394444","1598","1598","Elsass","Elsass","i",NA,"i",0,1598,7.394444,48.079444
2,"Wolf","Wolf (Traben-Trarbach) ","49,978563","7,103908","1450","15. Jh.","WMD","WMD","i",NA,"i",0,1450,7.103908,49.978563
2,"Wolf bei Cröve (Mosel)",NA,"49,978563","7,103908","1490","15. Jh. Ende","WMD","WMD","i",NA,"i",0,1490,7.103908,49.978563
5,"Wollen","Wollen","47","8","1406","1406","CH","CH","i",NA,"i",0,1406,8,47
4,"Wollerau Pfäffikon",NA,"47,195826","8,719449","1484","1484","CH","CH","i",NA,"i",0,1484,8.719449,47.195826
1,"Zarten","Kirchzarten","47,96499","7,95708","1397","1397","WOD","Schwarzwald","i","u","i",0,1397,7.95708,47.96499
1,"Zimersheim (bei Habsheim)",NA,"47,719722","7,388056","1483","1483","Elsass","Elsass","i",NA,"i",0,1483,7.388056,47.719722
4,"Zimmerbach bei Münster",NA,"48,072778","7,236944","1450","15. Jh.","Elsass","Elsass","i",NA,"i",0,1450,7.236944,48.072778
2,"Aach","Aach (Hegau)","47,845556","8,851667","1550","1550","WOD","WMD","ei",NA,"ei",1,1550,8.851667,47.845556
2,"Alflen","ggf Alf","50,176959","7,040473","1507","1507","WMD","WMD","ei",NA,"ei",1,1507,7.040473,50.176959
3,"Alken (Mosel)",NA,"50,245833","7,448611","1578","1578 Abschrift 18. Jh.","WMD","WMD","ei",NA,"ei",1,1578,7.448611,50.245833
6,"Allerheim",NA,"48,84455","10,61892","1353","1353","WOD","Schwaben","ei","au","ei",1,1353,10.61892,48.84455
1,"Alsenzbruck","Alsenbrück-Langmeil","49,565","7,881944","1507","1507","WMD","WMD","ei","au","ei",1,1507,7.881944,49.565
3,"Altenhaslau","Altenhaßlau (Linsengericht)","50,18973","9,19425","1354","1354","MDT","Hessen","ei",NA,"ei",1,1354,9.19425,50.18973
3,"Altenhaslau","Altenhaßlau (Linsengericht)","50,18973","9,19425","1461","1461","MDT","Hessen","ei",NA,"ei",1,1461,9.19425,50.18973
2,"Auen","Auen (Hunsrück) ","49,831389","7,5975","1488","1488","WMD","WMD","ei",NA,"ei",1,1488,7.5975,49.831389
2,"Auwe (auf der Kill)",NA,"49,901814","6,614631","1606","1606","WMD","WMD","ei",NA,"ei",1,1606,6.614631,49.901814
4,"Balschwiller",NA,"47,66888889","7,168333333","1413","1413","Elsass","Elsass","ei",NA,"ei",1,1413,7.168333333,47.66888889
5,"Barr",NA,"48,40805556","7,449722222","1361","1361","Elsass","Elsass","ei",NA,"ei",1,1361,7.449722222,48.40805556
3,"Barweiler (Eifel)",NA,"50,3575","6,865278","1609","1609","WMD","WMD","ei",NA,"ei",1,1609,6.865278,50.3575
3,"Behrungen","Behrungen Grabfeld","50,41","10,414444","1782","1782","MDT","Thüringen","ei",NA,"ei",1,1782,10.414444,50.41
2,"Besch",NA,"49,504722","6,374167","1541","1541","WMD","WMD","ei",NA,"ei",1,1541,6.374167,49.504722
1,"Bibelnheim","Beblenheim","48,158333","7,3275","1529","1529","Elsass","Elsass","ei","au","ei",1,1529,7.3275,48.158333
4,"Binzikon",NA,"47,284444","8,762504","1435","1435","CH","CH","ei",NA,"ei",1,1435,8.762504,47.284444
5,"Bischofsheim",NA,"50","8","1503","1503","MDT","Hessen","ei","au","ei",1,1503,8,50
3,"Bramsel Brasel","Barmen bei Schwelm","51,275","7,2","1650","17.Jh.","NDT","Westfalen","ei",NA,"ei",1,1650,7.2,51.275
2,"Breisich","Bad Breisig","50,509167","7,296389","1490","Ende 15. Jh","WMD","WMD","ei",NA,"ei",1,1490,7.296389,50.509167
2,"Buch","Buch (Hunsrück)","50,076411","7,3942","1551","1551","WMD","WMD","ei",NA,"ei",1,1551,7.3942,50.076411
3,"Bülfrigheim","P�lfringen","49,581155","9,526485","1406","1406","MDT","Franken","ei",NA,"ei",1,1406,9.526485,49.581155
2,"Burtscheid (bei Aachen)",NA,"50,763056","6,092222","1560","1560","WMD","WMD","ei",NA,"ei",1,1560,6.092222,50.763056
2,"Buschhoven","Buschhoven (Swisttal)","50,681944","6,978333","1547","1547","WMD","WMD","ei","au","ei",1,1547,6.978333,50.681944
2,"Carden (Mosel)","Treis-Karden","50,178056","7,302222","1462","1462","WMD","WMD","ei",NA,"ei",1,1462,7.302222,50.178056
2,"Carden (Mosel)","Treis-Karden","50,178056","7,302222","1547","1547","WMD","WMD","ei",NA,"ei",1,1547,7.302222,50.178056
2,"Catharein Ostern","? Gegend Tholey","49,483889","7,0375","1463","1463","WMD","WMD","ei",NA,"ei",1,1463,7.0375,49.483889
3,"Chiemsee",NA,"47,86194444","12,40111111","1462","1393-1462","OOD","Baiern","ei","au","ei",1,1462,12.40111111,47.86194444
2,"Coenen","Könen","49,679628","6,554058","1508","1508","WMD","WMD","ei","au","ei",1,1508,6.554058,49.679628
4,"Dammerkirch Dannemarie",NA,"47,63","7,12","1578","1578","Elsass","Elsass","ei",NA,"ei",1,1578,7.12,47.63
3,"Diffenthal","Tiefenthal (Erlenbach bei Marktheidenfeld) ","49,811667","9,658056","1449","1449","MDT","Franken","ei",NA,"ei",1,1449,9.658056,49.811667
3,"Dissen",NA,"52,11575","8,203417","1582","1582","NDT","Westfalen","ei",NA,"ei",1,1582,8.203417,52.11575
3,"Dockweiler (bei Daun)",NA,"50,251944","6,7825","1550","16. Jh.","WMD","WMD","ei",NA,"ei",1,1550,6.7825,50.251944
2,"Dommershausen",NA,"50,143611","7,397778","1580","1580","WMD","WMD","ei",NA,"ei",1,1580,7.397778,50.143611
1,"Dörsdorf","D�rsdorf","50,247439","8,010325","1523","1523","MDT","MDT","ei",NA,"ei",1,1523,8.010325,50.247439
2,"Dreiborn","Dreiborn (Schleiden) ","50,545556","6,409722","1419","1419","WMD","WMD","ei","au","ei",1,1419,6.409722,50.545556
2,"Dreys",NA,"49,941008","6,817278","1588","1588","WMD","WMD","ei",NA,"ei",1,1588,6.817278,49.941008
3,"Dünchenheim",NA,"50,23","7,14","1521","1521","WMD","Moselfränkisch","ei",NA,"ei",1,1521,7.14,50.23
5,"Ebersheimmuenster",NA,"48,311111","7,524167","1612","1612","Elsass","Elsass","ei","au","ei",1,1612,7.524167,48.311111
4,"Eddersheim",NA,"50,0395","8,4717","1535","1535","MDT","Schwaben","ei",NA,"ei",1,1535,8.4717,50.0395
3,"Edingen (bei Echternach)",NA,"49,8151","6,48911","1588","1588","WMD","WMD","ei",NA,"ei",1,1588,6.48911,49.8151
6,"Ehringen bei Nördlingen",NA,"48,877778","10,473889","1484","1484","WOD","Schwaben","ei","au","ei",1,1484,10.473889,48.877778
6,"Eibelstadt",NA,"49,72388889","10,00083333","1396","1396","MDT","Franken","ei","au","ei",1,1396,10.00083333,49.72388889
