Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein;Haus;
1;Ellstatt bei Türkheim und Oggersheim;;48,086389;7,280556;NN;NN;Elsass;Elsass;;;
1;Embrach;;47,510278;8,593334;1518;1518;CH;CH;i;u;
4;Embrach;;47,510278;8,593334;NN;NN;CH;CH;i;u;
4;Emlingen Wiltersdorf Tagsdorf östl von Altkirch;;47,623611;7,291111;1420;1420;Elsass;Elsass;i;;
2;Emmel (Mosel);;49,883056;6,916667;1532;1532;WMD;WMD;ei;au;
1;Emmen;;47,079;8,30251;1303;1303;CH;CH;;u;
4;Emmen;;47,079;8,30251;NN;NN;CH;CH;i;;
4;Emmerke;;;;NN;NN;NDT;Niedersachsen;;au;
2;Endenich (Bonn);;50,725139;7,072833;1552;1552;WMD;WMD;ei;;
4;Engelberg Unterwalden;;46,82083;8,402785;1413;1413;CH;CH;;u;
2;Engelgauw bei Blankenheim und Münstereifel;;50,493889;6,678056;1582;1582;WMD;WMD;;;
3;Engern;;52,19;9,08;1558;1558;NDT;Westfalen;;;
1;Engwil bei Gottlieben Thurgau;;47,617001;9,094724;1532;1532;CH;CH;;;
4;Enschingen;;47,671111;7,201667;1420;1420;Elsass;Elsass;i;;
3;Enzersdorf;Enzersdorf an der Fischa;48,079444;16,606667;1575;1575;OOD;Österreich;ei;;
6;Epfendorf am Neckar;;48,249444;8,598333;1550;16. Jh.;WOD;Schwaben;;au;
5;Eppishausen;;48,16666667;10,51666667;1447;1447;CH;CH;;au;
3;Erenberg Dommershausen Dorweiler;Dommershausen;50,143611;7,397778;NN;NN;WMD;WMD;ei;;
5;Erlenbach;;50;9;1484;1484;MDT;Hessen;;;
4;Erlenbach Zürichsee;;47,30472;8,592499;1510;1510;CH;CH;i;u;
1;Ermatingen;;47,66931;9,0799;1350;14. Jh.;CH;CH;i;;
1;Ermatingen;;47,66931;9,0799;1518;1518;CH;CH;i;u;
5;Erpoltzheim (bei Dürckheim);;;;NN;NN;WMD;WMD;ei;au;
5;Erstein;;48,42194444;7,661111111;1407;1407;Elsass;Elsass;i;;
